"ID","location","size_est","size_actual","charcoal_present","smoker_present","salads","burgers","hotdogs","chicken","beyond_items","propane_used"
2499,"beach","small",9,0,1,4.79855288155406,1,1,0,0,34.9196035049879
2500,"backyard","small",15,1,1,9.96468381545144,1,1,0,0,29.1700259314916
2501,"backyard","large",41,0,0,30.9969216094931,1,1,0,1,65.7203489975493
2502,"campsite","large",40,0,0,28.0400845386655,1,1,1,0,57.128286250461
2503,"backyard","small",11,1,0,4.04348512583615,0,1,1,0,45.2278131528544
2504,"campsite","small",8,1,0,6.59218444427294,0,1,0,0,44.6479604545648
2505,"beach","small",12,1,0,12.7594868297207,1,1,1,0,43.7861530681258
2506,"backyard","small",9,1,0,7.1675346864577,0,1,0,0,46.1811741806411
2507,"backyard","small",9,1,1,1.85225609975423,1,1,0,1,25.9652234128107
2508,"backyard","small",12,1,1,8.85898029480628,1,1,0,0,26.8430592789469
2509,"backyard","large",45,0,0,31.274222095656,1,1,1,0,65.2057304867824
2510,"beach","small",15,1,0,6.78138167644114,1,1,1,0,44.4622906767076
2511,"backyard","small",14,0,0,7.53382608833555,1,1,0,0,59.5392322836702
2512,"backyard","small",12,1,0,8.03267409811213,1,1,1,0,46.0802796703962
2513,"backyard","large",38,1,1,30.1440429418799,0,1,1,1,34.7352236539816
2514,"campsite","small",18,0,0,13.4477312724759,1,1,1,0,56.2456166752415
2515,"backyard","large",41,1,0,31.783164965084,1,1,1,0,55.4862778007371
2516,"backyard","small",11,0,0,5.89347285776615,1,1,1,0,57.37494734231
2517,"campsite","small",14,1,0,11.328037495256,1,1,0,1,45.8426650590932
2518,"campsite","small",17,1,0,11.9777529328716,1,1,1,0,47.6641475282673
2519,"campsite","large",45,1,0,40.6948267339797,1,1,1,1,45.1626672978335
2520,"backyard","large",35,1,0,27.3013543886974,1,1,0,0,54.904798146429
2521,"backyard","small",10,0,0,5.53117346637481,1,1,1,0,57.7342832717079
2522,"campsite","large",40,1,1,28.5451569474539,1,1,1,1,26.0020991022934
2523,"backyard","small",12,1,0,7.30217924153572,1,1,1,1,47.7409287359206
2524,"beach","small",10,0,0,6.02460823835632,1,1,1,0,54.9533198475446
2525,"campsite","small",11,1,0,5.29697448966119,1,1,1,0,44.6885983168783
2526,"backyard","small",12,0,1,9.57703123578179,1,1,0,0,38.4455025122247
2527,"backyard","small",15,0,0,7.11899962511333,1,1,1,1,61.2646338814878
2528,"backyard","small",13,0,1,7.8021961724991,1,1,1,0,38.3228927921715
2529,"backyard","small",13,1,0,10.3667369627462,1,1,1,1,48.0986655632758
2530,"campsite","small",12,1,0,8.5733986485302,1,1,1,0,44.4070242963961
2531,"backyard","large",53,1,1,35.7226160783711,1,1,0,0,36.5241816220097
2532,"backyard","small",9,1,0,7.03255848381688,1,1,1,0,45.1050778174538
2533,"backyard","small",20,0,1,20.5413506100124,1,1,1,0,42.2981337794063
2534,"backyard","small",10,0,1,7.13698667690523,0,1,0,1,37.2919372912498
2535,"campsite","small",12,1,0,10.5220638350268,1,1,0,0,44.8160615345866
2536,"campsite","small",5,1,0,5.39354243399739,1,1,0,1,42.9524481691449
2537,"backyard","small",13,1,0,7.00956487386466,1,1,0,0,48.1424171273137
2538,"campsite","small",16,1,0,11.2828920316392,1,1,1,0,47.0074864025119
2539,"backyard","large",47,1,0,33.1440532100045,1,0,1,0,61.1045379940539
2540,"backyard","large",40,0,0,28.1786835085664,1,1,0,0,65.8450287554126
2541,"backyard","small",7,1,0,4.78185769036749,1,1,1,1,46.095430686999
2542,"campsite","large",60,1,0,48.1557853996692,0,1,0,1,44.6384941260612
2543,"backyard","small",14,0,0,8.20788870821696,0,0,1,0,60.3075154482983
2544,"backyard","small",10,0,0,5.57613990293235,1,1,1,0,56.6785940415826
2545,"backyard","small",7,0,0,4.5760603909994,1,1,1,1,54.5877059822888
2546,"campsite","small",11,0,0,8.33704870431363,0,1,0,0,54.8661562996281
2547,"campsite","small",12,0,0,8.19247666376214,1,1,1,0,54.4661599260135
2548,"backyard","small",15,1,0,8.88088767639886,0,1,0,1,46.9919147807658
2549,"backyard","large",42,1,0,27.1075303183366,1,1,0,0,52.8255650492108
2550,"backyard","small",12,0,1,6.03949655579543,1,1,0,0,36.9971276912244
2551,"beach","small",16,1,0,8.69875079106353,0,1,0,0,46.2154979188251
2552,"backyard","large",44,1,0,32.670181344694,0,1,0,1,55.9047672543222
2553,"backyard","small",12,0,0,7.52991247342139,1,1,1,0,56.9847711840155
2554,"backyard","large",42,0,0,28.2516419626897,0,1,0,0,63.9524764328891
2555,"backyard","small",13,1,0,10.6625987953575,1,1,1,0,48.613436059197
2556,"campsite","large",47,0,0,33.0736597854434,1,1,1,0,57.6119492471931
2557,"backyard","large",34,0,0,25.821952998213,0,1,1,0,64.5290794944971
2558,"backyard","small",13,0,0,6.45605857744365,0,1,1,0,59.5387752113297
2559,"backyard","small",9,1,0,4.05059856126731,0,1,1,1,45.2427543852442
2560,"backyard","small",12,0,0,9.12595386334391,1,1,0,0,57.5822031898053
2561,"backyard","small",20,0,0,11.2383261499498,1,1,0,0,61.1304092930117
2562,"backyard","small",7,1,0,3.66962649083373,0,1,1,0,43.9453467310615
2563,"campsite","large",36,1,1,29.2969931142997,1,1,1,0,28.2844554707482
2564,"campsite","small",14,0,1,12.7374341708399,1,1,1,0,35.8774663114732
2565,"backyard","small",16,1,1,11.9928298104828,1,1,0,0,29.0743754606024
2566,"campsite","small",11,1,1,4.8096243161192,1,1,1,0,25.6459964447599
2567,"backyard","large",51,1,0,39.6002934621966,1,1,0,1,56.6282800562172
2568,"beach","large",39,1,1,28.8681546457388,1,1,1,0,23.639996996222
2569,"campsite","large",40,1,0,30.924910326392,1,1,1,0,47.1816205786584
2570,"backyard","small",15,1,0,15.3908061078974,0,1,1,0,47.4745591470174
2571,"backyard","small",10,1,0,7.88627737482997,1,1,0,0,47.2495555758672
2572,"backyard","small",12,0,0,6.7282576727367,1,1,0,0,56.4508960900711
2573,"campsite","small",10,1,0,7.88939757455509,1,1,1,0,46.3853716674007
2574,"backyard","small",8,0,0,6.12280460742804,1,1,0,0,56.9467097648829
2575,"backyard","small",6,0,0,4.29762780423475,1,1,0,1,54.8106347484422
2576,"backyard","small",12,0,0,9.67395341088355,1,1,0,1,57.1966455362555
2577,"backyard","small",11,1,0,8.60730545307908,1,1,1,0,46.5544261435882
2578,"backyard","small",14,0,0,5.76594494682911,1,1,1,0,57.522291662452
2579,"backyard","small",11,1,0,8.72739976547649,1,1,1,0,46.0772508761849
2580,"campsite","small",10,1,0,6.65672365706154,1,1,1,0,46.9647326702425
2581,"backyard","small",10,0,1,4.95142381018365,1,1,1,1,37.715111574765
2582,"backyard","small",13,1,1,11.4385831924012,1,1,1,0,27.7091385239896
2583,"campsite","small",12,0,1,5.91122184674968,1,1,0,0,35.9296744148636
2584,"backyard","small",11,0,0,9.04481359141344,1,1,0,0,57.6890238709443
2585,"campsite","small",11,1,0,9.03576287665404,0,1,1,0,45.4176170287439
2586,"backyard","small",13,1,0,9.7024062456962,1,1,1,0,46.2636730219636
2587,"backyard","small",12,0,0,5.69899949229498,0,1,1,0,57.9671649480387
2588,"backyard","small",16,1,0,10.4686139332935,1,1,0,1,48.372980228248
2589,"backyard","small",14,0,0,5.26840374502942,1,1,1,0,59.0821818791412
2590,"backyard","large",49,1,1,33.4096657295589,1,1,0,0,34.5548788940112
2591,"backyard","small",6,0,0,3.70768026262414,1,1,1,0,57.0632024734642
2592,"backyard","small",19,0,0,9.63116824155909,1,1,1,0,60.4187487261677
2593,"backyard","small",12,1,0,5.93546443251214,1,1,1,0,47.097196383957
2594,"campsite","small",6,1,0,3.78949763899885,1,1,1,0,45.5541157831978
2595,"campsite","small",14,1,0,6.4718962923264,1,1,0,0,44.6223965479104
2596,"beach","small",15,0,1,9.24115957059393,1,1,1,0,35.9025150611054
2597,"campsite","small",14,1,0,9.07203906816184,0,1,1,0,44.4917064465346
2598,"backyard","small",14,0,0,9.19877406323785,1,1,0,0,59.6534495721861
2599,"backyard","large",36,1,1,27.9518208424468,1,0,0,0,37.2552476508633
2600,"backyard","large",50,1,1,45.6942409655651,1,1,1,1,35.4378164304295
2601,"backyard","small",10,1,0,4.13954821698694,1,1,0,0,46.6763928442938
2602,"backyard","small",11,0,0,4.71516961539834,1,1,0,0,57.7835045193447
2603,"campsite","small",12,1,0,7.31411351633655,1,0,1,1,46.3633983760563
2604,"campsite","small",18,0,0,11.061634946549,1,0,1,0,57.0920744008343
2605,"backyard","small",15,0,0,8.35431403553152,1,1,0,0,57.1167784470588
2606,"campsite","small",14,1,0,9.75687777158672,1,1,1,0,45.626562706304
2607,"campsite","small",11,1,0,6.4595643694975,0,1,1,0,44.7549086761712
2608,"backyard","small",15,0,0,5.80482048185002,1,0,1,0,61.3738715561351
2609,"backyard","small",12,0,0,8.4574085118033,1,1,0,0,57.7028830587856
2610,"backyard","small",11,1,1,6.22433892914247,1,1,1,0,28.1237243846712
2611,"backyard","small",13,0,0,8.74386755839929,1,1,1,1,57.9566577836685
2612,"backyard","small",12,1,1,6.49123054835189,0,1,1,0,25.6101870932531
2613,"backyard","large",33,0,0,19.0252531075334,1,1,1,0,63.7325047430007
2614,"backyard","large",44,1,0,35.00265527029,1,1,0,1,55.6330645100701
2615,"backyard","small",11,0,0,7.09043469267275,1,1,0,1,58.2430463316849
2616,"backyard","small",14,0,0,9.36690000418026,1,1,1,0,59.3726941928307
2617,"campsite","small",11,0,1,5.45022058243837,1,1,0,1,35.3339044040435
2618,"campsite","large",44,1,0,28.8443886363494,1,1,0,0,46.4097286936072
2619,"beach","large",48,1,0,40.331037286879,1,1,0,1,40.294478687987
2620,"beach","small",13,0,0,8.37115416487443,1,1,1,1,54.4130155278172
2621,"backyard","small",12,1,0,8.47280612803265,1,1,0,0,47.739813340385
2622,"campsite","small",13,0,0,8.9791969940003,1,1,1,1,56.2426526511154
2623,"backyard","small",15,1,0,8.06703587162884,1,1,1,0,49.2031802629095
2624,"backyard","small",4,0,1,2.57534813965785,1,1,1,0,33.557777001707
2625,"backyard","small",9,1,0,8.29951000257847,1,1,1,0,46.4229819321225
2626,"backyard","large",38,0,0,26.0177011111045,1,1,1,0,65.0251224205771
2627,"backyard","small",10,0,0,5.30924281322266,0,1,0,1,56.584024952657
2628,"campsite","small",14,1,0,12.0046322863835,1,0,1,0,46.8798922470677
2629,"beach","small",15,0,0,10.3011098833464,1,1,0,1,53.3573703839328
2630,"beach","small",12,0,0,9.10448838338435,0,1,0,0,53.8954744958638
2631,"campsite","small",16,0,0,10.7755453962911,1,1,1,0,55.6000044310862
2632,"backyard","small",24,0,0,19.5978798273299,1,1,1,1,61.1304339504246
2633,"backyard","small",10,0,1,5.02657262319248,1,1,1,0,34.5879219872894
2634,"backyard","small",13,1,1,9.78460299606663,1,1,0,1,29.4050396659002
2635,"backyard","small",11,1,0,5.03148290655936,0,1,0,0,45.8695665772876
2636,"backyard","small",18,0,0,7.32424744021227,1,1,0,1,59.9364023822
2637,"backyard","small",16,0,0,6.98778520087681,1,1,1,0,58.9984572317529
2638,"campsite","small",6,1,0,3.67999050213738,1,1,1,0,44.447719079318
2639,"backyard","small",12,1,0,8.91627050374493,1,1,1,0,47.5704334592061
2640,"campsite","small",10,1,0,6.88945404868986,1,1,0,0,43.9562604835062
2641,"beach","large",33,1,0,28.3494139526405,1,1,0,0,42.588922301539
2642,"backyard","small",13,1,0,8.57872058352133,0,1,1,1,47.348666545047
2643,"backyard","small",13,0,0,4.78643918964759,1,1,1,0,57.3461551071557
2644,"campsite","small",9,1,0,5.12622244745786,1,1,1,0,46.0607316574697
2645,"campsite","small",10,1,0,7.01509083273124,1,1,0,0,44.2692629033724
2646,"backyard","small",9,1,1,7.26763419343937,1,1,0,1,28.072161376429
2647,"backyard","small",14,0,0,12.2783997074216,1,0,1,1,60.3449086909121
2648,"campsite","small",13,1,0,8.76198502957948,1,1,0,1,47.010259265823
2649,"beach","small",7,1,1,3.9307801438874,1,1,1,0,23.4243396825997
2650,"campsite","small",17,1,0,12.1397967932354,1,1,1,1,44.8961238517547
2651,"beach","small",10,1,1,4.60128217689876,1,1,1,0,23.6513011148364
2652,"backyard","small",12,1,0,11.8124722412943,1,1,1,1,46.1303683646486
2653,"campsite","small",13,0,1,9.08584482848428,1,1,1,1,33.6730518504608
2654,"backyard","small",8,1,0,4.49060459905904,1,1,0,0,44.5615619011974
2655,"backyard","large",35,0,0,25.4333454873636,1,1,1,0,63.8385659398015
2656,"backyard","small",12,0,0,7.22034030394092,1,1,0,0,57.7239082723946
2657,"campsite","large",46,1,0,36.9989086272242,1,1,0,0,46.6293669836263
2658,"backyard","small",16,1,0,8.62392699406764,1,1,1,1,48.9545783649024
2659,"beach","small",11,0,0,6.05726848151826,0,1,1,0,54.7500314131596
2660,"backyard","small",9,1,0,3.09746374152596,1,1,1,0,47.0081071767002
2661,"backyard","small",17,1,1,12.9330696525784,1,1,0,0,29.5019349166672
2662,"campsite","small",10,1,0,6.00149633922559,1,1,0,0,44.4823251750249
2663,"backyard","small",8,1,1,4.99356404546984,0,1,1,0,25.4440350503774
2664,"backyard","small",16,1,0,12.8629142854712,1,1,0,0,50.2017533928708
2665,"campsite","small",9,1,1,3.78253232195115,1,1,1,0,23.2082145455114
2666,"backyard","small",8,1,0,5.29873616161828,1,1,1,0,45.9999727931097
2667,"backyard","small",9,0,1,6.94469672905229,1,1,1,0,36.7718582725884
2668,"backyard","small",7,0,0,3.60801859998148,1,1,0,0,56.1047613777192
2669,"backyard","large",36,1,1,24.259664994622,1,1,1,0,34.8378059017621
2670,"campsite","small",12,1,0,10.6354203674986,1,1,0,0,44.6663389965525
2671,"backyard","small",10,0,0,5.17121936559123,1,1,1,0,56.9594472754716
2672,"backyard","small",11,1,0,7.10669805585405,0,1,1,0,48.8811969148775
2673,"backyard","small",13,0,0,8.50886481605981,0,1,0,0,58.2101122404973
2674,"backyard","small",11,1,1,7.35154646621665,1,1,1,0,28.9451785552003
2675,"campsite","large",44,1,0,38.7433423259388,1,1,1,0,45.6309697030198
2676,"backyard","small",12,1,0,6.54381327708392,1,1,1,0,46.9270604264594
2677,"beach","small",15,1,0,7.88365073976628,1,1,1,1,44.2068312252291
2678,"beach","small",18,0,0,12.0051293919312,1,1,0,0,54.5360412005053
2679,"campsite","small",12,1,0,10.1731549395389,1,1,1,1,45.0880941608599
2680,"backyard","small",13,0,0,8.76760409706703,1,1,1,0,58.4672680391484
2681,"campsite","small",16,1,0,11.1738101919152,0,1,0,0,43.4251770838227
2682,"backyard","large",41,0,0,32.0342435374947,1,1,1,0,64.752781771192
2683,"beach","small",10,1,0,6.42814073133219,1,1,1,0,43.7496599287123
2684,"campsite","small",9,1,0,5.971053056026,1,1,1,0,45.9420159853329
2685,"campsite","large",43,0,0,23.5546917012537,1,1,0,0,54.6795381160839
2686,"backyard","small",11,1,0,9.06410457474394,1,1,0,0,46.2559209847513
2687,"campsite","small",17,1,0,9.30182875959957,1,1,1,0,44.1692152541737
2688,"backyard","small",16,1,0,8.35324336779534,1,0,1,0,51.0740646231222
2689,"campsite","small",9,1,1,5.21783894563567,1,1,0,0,24.5601083276538
2690,"campsite","small",10,1,0,6.36605216434683,1,1,1,1,44.5619491055826
2691,"beach","large",34,1,0,29.2013624131709,1,0,0,0,47.8845339439404
2692,"campsite","small",12,1,1,7.47917369597564,1,1,0,0,26.1383399507999
2693,"backyard","small",17,1,0,6.15330013755788,1,1,1,1,49.3863203270437
2694,"beach","small",12,0,0,6.44533971393311,1,1,1,0,54.7006661368149
2695,"campsite","large",45,0,0,38.5826105418012,1,1,0,0,56.8908477608165
2696,"backyard","small",10,0,0,5.80584269802029,1,0,1,0,57.4977632077948
2697,"backyard","large",42,0,0,28.1735669550649,1,1,0,0,65.4986763163914
2698,"backyard","small",11,0,1,7.25581436982487,1,1,1,1,38.5523810364111
2699,"backyard","small",15,0,0,9.19071064912113,1,1,1,0,59.4352416409746
2700,"backyard","small",15,0,0,8.33551493170036,1,1,1,1,58.9961559302576
2701,"backyard","large",42,0,0,34.7002506562159,1,1,0,0,64.4706357068362
2702,"campsite","small",16,0,0,11.9343450835419,1,1,0,0,56.2425517097566
2703,"backyard","small",14,0,0,7.47034937653518,1,1,1,0,57.709343199732
2704,"backyard","small",13,0,0,7.07314148777335,1,1,1,0,58.4270515527948
2705,"backyard","small",16,1,0,6.16396569177266,1,1,1,0,48.5497174738671
2706,"backyard","large",52,1,1,37.250147346497,1,1,1,1,37.5438553846834
2707,"backyard","large",40,1,0,24.8535986865299,1,1,0,0,52.4573690008234
2708,"campsite","small",11,1,0,8.17236400399209,1,1,1,0,45.2535054331465
2709,"campsite","large",32,0,0,23.5584639392729,0,1,1,1,56.4003979446905
2710,"campsite","small",11,1,1,9.12785561037768,1,1,1,0,25.7252416790845
2711,"backyard","large",37,0,0,21.6090624541044,1,1,1,0,65.9056120610935
2712,"backyard","small",10,0,0,5.30074330208099,1,1,0,1,56.1647766311755
2713,"backyard","large",36,0,0,22.6353006569069,1,1,1,1,65.4460471984389
2714,"backyard","small",15,0,0,10.5666161446486,1,0,1,0,59.3974588765825
2715,"campsite","small",12,1,0,5.26361649010025,0,1,1,1,43.7288665220654
2716,"backyard","large",43,0,0,32.1067557563119,1,1,1,0,64.7272357659623
2717,"campsite","small",18,1,0,9.90774431146014,1,1,1,0,47.4748432465335
2718,"beach","small",12,0,0,9.16400666842535,1,1,1,1,54.7424247102851
2719,"campsite","small",10,0,0,7.21952765999581,0,1,0,1,54.2592381768179
2720,"beach","small",7,1,0,5.01023329364661,1,1,1,0,43.7645315841057
2721,"backyard","small",10,1,0,5.26170114312108,1,1,1,1,46.3693416737074
2722,"backyard","small",8,0,1,7.59963892682209,1,1,0,0,36.0461917819045
2723,"backyard","small",7,1,0,3.48689123390487,1,1,0,0,44.2812636592733
2724,"campsite","small",9,1,0,5.73966422922637,1,1,1,1,44.8615805061843
2725,"backyard","large",48,1,0,32.9225578994507,1,1,1,0,55.3147562968167
2726,"backyard","small",6,1,0,4.97231365605837,1,1,1,0,43.7502206028805
2727,"campsite","large",43,1,0,37.3136584286779,1,1,1,0,45.6283329153063
2728,"backyard","large",32,0,0,21.9339220536472,1,1,1,0,64.6984701651317
2729,"backyard","small",7,0,0,3.96756977194125,1,1,1,0,53.7828703561957
2730,"beach","small",11,0,0,6.85991979193567,1,1,1,1,55.428494295919
2731,"campsite","small",18,1,0,12.6286574638883,1,0,1,0,47.4479708246731
2732,"campsite","small",15,1,0,11.8779855223156,1,1,1,0,46.5215093219065
2733,"backyard","small",10,0,0,7.75082447639536,0,1,1,0,57.1607861772482
2734,"backyard","small",19,1,0,10.4694318383237,1,1,1,0,49.2509267315716
2735,"backyard","small",13,0,0,7.57056639904959,1,0,0,1,58.6854156407879
2736,"beach","small",9,0,0,6.01002617725869,1,1,0,0,52.9613831615071
2737,"campsite","small",8,0,0,7.87381830728372,1,0,1,0,58.2760653327565
2738,"backyard","small",13,1,0,5.63403272750975,1,0,1,0,48.5285034605499
2739,"beach","large",52,1,0,36.49909899321,1,0,0,0,44.4789377202561
2740,"backyard","small",18,0,0,13.7593853951497,1,1,0,0,60.6638461820907
2741,"backyard","small",6,0,0,4.40675056360289,0,1,0,0,52.6939468810571
2742,"backyard","small",11,1,1,6.11781187378619,1,1,1,0,26.7332775227122
2743,"backyard","large",46,1,0,36.14774312235,1,1,1,0,55.4316702153935
2744,"backyard","small",15,1,0,4.90887908125197,1,1,1,1,48.9396549729446
2745,"backyard","small",15,1,0,12.7321674624028,0,1,0,1,48.2758240555661
2746,"backyard","large",46,1,0,31.5665565259792,1,1,1,0,56.7034759266545
2747,"campsite","small",7,0,0,4.99601984311219,1,1,1,0,55.824604274673
2748,"backyard","small",9,1,1,6.3573931579748,0,1,1,1,27.21050606333
2749,"backyard","small",12,0,0,7.03880635299589,1,1,1,0,57.7642112800387
2750,"campsite","small",15,0,0,8.89826330126482,1,1,0,0,57.740523616281
2751,"campsite","large",35,0,0,26.2673654393645,1,1,0,0,58.6381207380147
2752,"backyard","small",13,1,0,6.72890266241778,1,1,1,0,47.0204692287764
2753,"backyard","small",11,1,0,8.49904567936322,1,1,1,0,48.3086659741946
2754,"backyard","small",14,1,0,8.14786197273399,1,1,0,1,49.9218475696701
2755,"backyard","large",50,0,0,38.6021084317341,1,1,0,1,65.4143062032232
2756,"backyard","large",50,1,0,42.2841327636862,1,1,1,1,57.7873051204026
2757,"backyard","small",16,1,0,13.5274866193844,0,1,1,1,49.7307148414646
2758,"backyard","small",8,1,0,4.63709825786462,1,1,0,0,45.3886977317727
2759,"backyard","small",17,0,0,13.4158332331732,1,1,1,0,60.31453662903
2760,"campsite","small",18,0,0,12.1654821669404,0,1,1,0,54.9227822498806
2761,"backyard","large",34,1,0,28.302195787684,1,1,1,0,54.2370824375694
2762,"campsite","small",14,0,0,10.3393665208127,1,1,1,0,55.6585297807452
2763,"beach","large",50,0,0,39.4881158711336,1,0,0,1,55.3776524652097
2764,"backyard","small",13,1,0,5.73795773306166,1,1,1,0,48.5911422381821
2765,"backyard","small",10,1,0,5.76279448935811,1,1,0,0,47.5071860533191
2766,"backyard","small",19,1,1,14.6412348548559,1,1,0,0,28.1923698321816
2767,"backyard","large",44,0,0,30.0895616789917,1,1,0,0,65.1411360156162
2768,"backyard","small",16,1,0,10.4548605569342,1,1,1,0,50.1644883941874
2769,"campsite","large",34,1,0,28.6278897215149,1,1,1,0,49.1307990827718
2770,"backyard","small",14,1,0,5.85996883415636,1,1,1,1,47.4999215474458
2771,"campsite","small",14,1,0,7.25035768759241,1,1,0,0,46.0941909704814
2772,"campsite","small",17,1,0,8.93920657280283,1,1,1,1,45.4324137242388
2773,"campsite","small",12,0,0,10.0657049168024,1,1,0,0,55.1620915402188
2774,"backyard","large",39,1,0,32.1917331012009,1,1,1,1,54.1709046053959
2775,"beach","small",17,0,0,13.6655652224723,1,1,0,0,54.0270053811532
2776,"backyard","large",32,1,0,24.678835595583,1,1,1,0,54.3164010476247
2777,"backyard","small",15,0,0,10.3255666509439,1,1,1,0,58.4795046188911
2778,"backyard","small",10,0,0,7.82721143663818,1,1,1,0,56.8261581512746
2779,"backyard","large",46,1,0,25.8866923315773,1,1,1,1,56.4733094437333
2780,"backyard","small",13,0,0,8.78603044096808,1,0,1,0,57.3265428764655
2781,"beach","small",15,0,1,11.6359876119843,1,1,0,0,35.1078004300427
2782,"beach","small",14,0,0,10.4003677336508,1,1,1,0,54.2336801603035
2783,"beach","small",15,0,0,9.80410315834517,1,1,0,0,55.1630858033089
2784,"campsite","small",15,0,0,7.35917943323244,1,1,0,1,54.3781869935404
2785,"backyard","small",20,0,1,12.14542765639,1,1,1,1,41.2315134844386
2786,"backyard","small",9,0,1,4.52863008160524,0,1,1,0,35.8797998896396
2787,"backyard","small",9,0,0,5.15154350050295,0,1,1,0,55.6660215477553
2788,"backyard","small",15,1,0,13.2161058592208,1,1,1,0,48.6718601928453
2789,"backyard","small",18,1,0,10.7316454798277,0,1,0,1,48.0789517637395
2790,"backyard","small",11,0,0,7.49968040695983,1,1,0,0,57.1133376625645
2791,"backyard","small",9,1,1,3.78647404912537,0,1,0,0,25.2749568298937
2792,"backyard","large",46,0,0,37.6081255586815,0,1,0,1,63.5516039981653
2793,"campsite","large",33,0,0,20.3272434628905,1,1,1,0,58.610550212103
2794,"backyard","small",13,1,0,10.4150739294574,0,1,0,0,48.0032575759258
2795,"campsite","small",8,1,1,4.59545318991425,1,1,1,0,25.1080411522629
2796,"beach","small",10,1,0,6.60598279981777,0,1,0,0,43.4648493056079
2797,"backyard","small",13,1,0,7.98537269295501,1,1,0,0,47.5304831154762
2798,"backyard","small",10,1,0,6.78164027683183,1,1,1,0,46.3073855329767
2799,"campsite","small",8,1,0,6.31397836993992,1,1,0,1,44.9430203923583
2800,"backyard","small",9,0,0,6.90976324818088,1,1,1,1,56.1561948989712
2801,"backyard","small",17,0,0,12.3966551403747,1,1,1,0,60.4016729735459
2802,"campsite","small",10,0,0,5.68262628621698,0,1,0,1,53.9599717640695
2803,"campsite","small",15,0,0,5.47008911667935,1,1,1,0,55.0886126016673
2804,"backyard","small",12,0,0,9.55004044760513,1,1,0,0,56.9293947768233
2805,"campsite","large",54,0,0,40.0275821505527,1,1,0,0,55.0950787692781
2806,"backyard","small",12,0,1,9.11718484681103,1,1,1,0,37.4891038071527
2807,"backyard","small",12,0,0,5.97464541840894,1,1,1,0,59.8689736658555
2808,"campsite","small",15,1,0,15.6510168244155,1,1,1,1,44.5281708513772
2809,"backyard","large",41,0,1,31.8867862340038,1,1,0,0,44.7652961768265
2810,"backyard","small",7,1,0,7.05036976632631,1,1,1,0,45.6935930751024
2811,"beach","large",42,0,0,33.3838065595748,1,1,0,1,52.9472246956221
2812,"campsite","small",12,0,0,8.52534142824877,1,1,1,0,55.380098638385
2813,"campsite","small",15,0,0,10.6989308472426,1,1,0,0,56.5161429504643
2814,"backyard","large",52,1,1,40.6271783482902,1,1,1,0,37.605447855003
2815,"backyard","small",13,1,0,10.4641270498997,1,1,1,0,48.8257856845134
2816,"backyard","large",33,1,0,24.9206282521191,1,1,1,0,52.6314030847951
2817,"campsite","small",14,1,0,9.00306379655361,1,1,0,0,45.1786001529515
2818,"beach","small",9,1,0,6.90258621639136,1,1,1,0,42.3306382507895
2819,"backyard","small",13,0,0,10.5163442341788,1,1,0,1,57.7411985736445
2820,"backyard","small",15,0,0,9.99936356754645,1,1,1,0,59.8692755186219
2821,"campsite","large",34,0,0,28.284395693508,1,1,1,0,57.2980124360536
2822,"backyard","large",53,1,0,42.7684001140245,0,0,1,0,60.4585923004097
2823,"campsite","small",14,1,0,7.07371127322969,1,1,0,1,45.3219751158363
2824,"campsite","small",12,0,1,9.50438297697182,1,0,0,0,37.1580055476004
2825,"beach","small",20,1,0,7.84927442101762,1,1,0,0,45.7011254738542
2826,"backyard","small",11,0,0,9.34068989160827,1,1,1,1,55.1949685841439
2827,"campsite","large",49,1,0,35.4709406049441,0,1,0,0,43.7143673091219
2828,"backyard","large",60,1,0,28.909372579615,1,1,0,1,53.9630483949993
2829,"campsite","small",11,0,0,5.50194392981444,1,1,1,1,55.2622167548556
2830,"backyard","small",17,1,0,8.79897234324154,1,1,0,0,50.7478364217031
2831,"backyard","small",12,0,0,7.62249996859131,1,1,1,0,58.7492002134248
2832,"backyard","small",13,1,1,8.51167695686987,0,1,1,1,28.849662635473
2833,"backyard","small",11,0,0,7.27281797269198,1,1,0,0,57.3348626264798
2834,"campsite","small",13,0,0,8.06169102568855,0,1,1,0,54.7122313864783
2835,"campsite","small",8,1,0,6.63629414400918,1,1,1,1,45.1080841300935
2836,"backyard","small",15,0,1,10.9616904699454,0,1,1,1,37.7502438721228
2837,"beach","large",49,1,0,37.4719681891155,1,1,1,0,38.9825451053178
2838,"backyard","small",15,0,0,9.42778882042664,1,1,1,0,59.3081631096029
2839,"beach","small",13,0,0,7.95272751112358,1,1,0,1,54.738895277792
2840,"backyard","small",15,0,0,13.6961304420805,1,1,0,0,58.8513502131805
2841,"backyard","small",14,0,0,4.08027493719011,0,1,1,0,59.6293485076626
2842,"campsite","small",10,1,1,5.95662946703473,1,0,0,0,27.0192065994283
2843,"backyard","small",9,1,1,6.76225516445882,1,1,1,0,26.8075403700305
2844,"backyard","small",14,1,1,10.3817812740035,1,1,1,0,26.0405041914071
2845,"beach","small",10,1,0,4.06579226785247,1,0,0,0,43.9799340201693
2846,"beach","small",12,1,0,9.47984787448221,1,1,0,1,43.6858356678838
2847,"campsite","small",12,1,0,5.76086483388404,1,1,0,0,44.8165009007015
2848,"backyard","small",13,0,0,7.28506441989906,0,1,1,0,57.3058721066329
